Gene,targetId,disease_score,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,tissueSpecificity,tissueDistribution,maxClinicalTrialPhase,doability_score,tissue_score,precedence_score,tracability_score,priority
MAPT,ENSG00000186868,0.9742806190544608,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.625,0.5,0.8,0.7922122476217843
GRIN2C,ENSG00000161509,0.992355664106232,1.0,0.0,1.0,1.0,0.0,0.4444450000000003,0.0,1.0,0.5,1.0,0.22222250000000016,0.875,1.0,0.6000000000000001,0.7866645156424928
GLP1R,ENSG00000112164,0.943155091489005,1.0,0.0,1.0,1.0,0.0,0.60043,0.0,0.5,0.5,1.0,0.300215,0.75,1.0,0.6000000000000001,0.762283536595602
MAOB,ENSG00000069535,0.9899841352805768,0.0,0.0,1.0,1.0,1.0,0.4326900000000002,0.0,0.5,0.0,1.0,0.2163450000000001,0.625,1.0,0.6000000000000001,0.7601281541122308
DRD4,ENSG00000069696,0.9960235157427456,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.5,0.25,1.0,0.6000000000000001,0.7534094062970984
GRIN3B,ENSG00000116032,0.992355664106232,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.75,1.0,0.6000000000000001,0.7519422656424928
ACHE,ENSG00000087085,0.954010156393878,0.0,0.0,1.0,1.0,1.0,0.4218249999999998,0.0,0.75,0.0,1.0,0.2109124999999999,0.6875,1.0,0.6000000000000001,0.7514453125575512
PLK1,ENSG00000166851,0.865457038266544,0.0,0.0,1.0,1.0,1.0,0.7512450000000002,1.0,0.5,0.0,0.75,0.8756225000000001,0.625,0.75,0.6000000000000001,0.7512450653066176
CHRM2,ENSG00000181072,0.865457038266544,1.0,0.0,1.0,1.0,0.0,0.8175950000000001,0.0,0.5,0.5,1.0,0.40879750000000004,0.75,1.0,0.6000000000000001,0.7420625653066177
SLC6A3,ENSG00000142319,0.96566233351211,0.0,0.0,1.0,1.0,0.0,0.67742,0.0,1.0,1.0,1.0,0.33871,1.0,1.0,0.4,0.7401359334048441
FYN,ENSG00000010810,0.9953237836628132,1.0,0.0,1.0,1.0,0.0,0.972065,0.0,-1.0,-1.0,1.0,0.4860325,0.0,1.0,0.6000000000000001,0.7267327634651253
SCN2A,ENSG00000136531,0.655636478257533,1.0,0.0,1.0,1.0,0.0,0.9052349999999996,1.0,1.0,0.5,1.0,0.9526174999999998,0.875,1.0,0.6000000000000001,0.7250163413030132
ADRB2,ENSG00000169252,0.7225259182265708,1.0,0.0,1.0,1.0,1.0,0.4067799999999998,1.0,-1.0,0.0,1.0,0.70339,0.25,1.0,0.8,0.7243493672906283
HMGCR,ENSG00000113161,0.8055170742702947,0.0,0.0,1.0,1.0,1.0,0.6734250000000003,1.0,0.5,-1.0,1.0,0.8367125000000002,0.375,1.0,0.6000000000000001,0.723378079708118
CHRM3,ENSG00000133019,0.8761792281618346,1.0,0.0,1.0,1.0,0.0,0.5762700000000003,0.0,0.5,0.0,1.0,0.28813500000000014,0.625,1.0,0.6000000000000001,0.721785191264734
GSK3B,ENSG00000082701,0.8434018784372057,0.0,0.0,1.0,1.0,1.0,0.95238,1.0,-1.0,-1.0,1.0,0.97619,0.0,1.0,0.6000000000000001,0.7149797513748823
DRD1,ENSG00000184845,0.8120534421297112,1.0,0.0,1.0,1.0,0.0,0.5515700000000002,0.0,0.75,0.5,1.0,0.2757850000000001,0.8125,1.0,0.6000000000000001,0.7136498768518845
CDK4,ENSG00000135446,0.865457038266544,0.0,0.0,1.0,1.0,1.0,0.7359749999999998,1.0,-1.0,-1.0,1.0,0.8679874999999999,0.0,1.0,0.6000000000000001,0.7129815653066176
SNCA,ENSG00000145335,0.9939051507327848,0.0,1.0,1.0,1.0,0.0,0.75,0.0,0.75,-1.0,0.5,0.375,0.4375,0.5,0.6000000000000001,0.708812060293114
HSP90AB1,ENSG00000096384,0.7313959805131438,1.0,0.0,1.0,1.0,1.0,0.97928,1.0,-1.0,-1.0,0.75,0.9896400000000001,0.0,0.75,0.8,0.7065223922052575
IGF1R,ENSG00000140443,0.6226165758776118,1.0,0.0,1.0,1.0,1.0,0.8061450000000001,1.0,-1.0,0.0,1.0,0.9030725000000001,0.25,1.0,0.8,0.7043538803510447
VDR,ENSG00000111424,0.8204000870345711,0.0,0.0,1.0,1.0,1.0,0.4028100000000002,0.0,1.0,0.0,1.0,0.2014050000000001,0.75,1.0,0.6000000000000001,0.7033005348138285
AURKA,ENSG00000087586,0.819999004813659,0.0,0.0,1.0,1.0,1.0,0.1067,1.0,0.5,0.0,0.75,0.55335,0.625,0.75,0.6000000000000001,0.7008346019254637
RXRG,ENSG00000143171,0.6548366716742815,0.0,0.0,1.0,1.0,1.0,0.9136049999999998,1.0,0.5,0.0,1.0,0.9568024999999999,0.625,1.0,0.6000000000000001,0.7001149186697126
GRM5,ENSG00000168959,0.5784433217447585,1.0,0.0,1.0,1.0,1.0,0.7689749999999996,1.0,1.0,0.5,0.5,0.8844874999999999,0.875,0.5,0.8,0.6973260786979034
GRIA2,ENSG00000120251,0.5903852548282323,1.0,0.0,1.0,1.0,1.0,0.988675,0.0,0.75,0.0,1.0,0.4943375,0.6875,1.0,0.8,0.6943378519312929
HTR2C,ENSG00000147246,0.6383273374922022,1.0,0.0,1.0,1.0,0.0,0.5305700000000002,1.0,0.75,0.5,1.0,0.7652850000000001,0.8125,1.0,0.6000000000000001,0.6931094349968809
DRD5,ENSG00000169676,0.8117432733554195,1.0,0.0,1.0,1.0,0.0,0.1404600000000002,0.0,0.75,0.5,1.0,0.0702300000000001,0.8125,1.0,0.6000000000000001,0.692970309342168
EGFR,ENSG00000146648,0.3825545062751968,1.0,1.0,1.0,1.0,1.0,0.5247950000000003,1.0,0.5,0.0,1.0,0.7623975000000002,0.625,1.0,1.0,0.6917615525100786
HTR1A,ENSG00000178394,0.648969144749237,1.0,0.0,1.0,1.0,0.0,0.4075850000000002,1.0,0.75,0.5,1.0,0.7037925,0.8125,1.0,0.6000000000000001,0.6912169078996948
MMP9,ENSG00000100985,0.7682248091543372,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.75,0.0,0.6875,0.75,0.8,0.6910399236617348
TLR2,ENSG00000137462,0.9060001293942976,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,-1.0,0.5,0.0,0.375,0.5,0.8,0.689900051757719
PLA2G7,ENSG00000146070,0.7770132393940132,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.75,0.0,0.625,0.75,0.8,0.6883052957576052
SCN9A,ENSG00000169432,0.655636478257533,1.0,0.0,1.0,1.0,0.0,0.660465,1.0,0.5,0.0,1.0,0.8302324999999999,0.625,1.0,0.6000000000000001,0.6877778413030132
TRPV4,ENSG00000111199,0.6414733793698424,1.0,0.0,1.0,1.0,0.0,0.76464,1.0,0.5,0.0,1.0,0.88232,0.625,1.0,0.6000000000000001,0.687321351747937
CDK1,ENSG00000170312,0.841870849538829,0.0,0.0,1.0,1.0,0.0,0.8484850000000002,1.0,0.5,0.0,0.75,0.9242425000000001,0.625,0.75,0.4,0.6866725898155316
IL17A,ENSG00000112115,0.7962731710232456,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.875,1.0,0.6000000000000001,0.6860092684092983
GHSR,ENSG00000121853,0.6686530420543269,1.0,0.0,1.0,1.0,0.0,0.7677599999999998,0.0,1.0,1.0,1.0,0.3838799999999999,1.0,1.0,0.6000000000000001,0.6858492168217307
PIK3CA,ENSG00000121879,0.7701979681558608,0.0,0.0,1.0,1.0,1.0,0.9344549999999998,1.0,-1.0,-1.0,1.0,0.9672274999999999,0.0,1.0,0.6000000000000001,0.6848019372623444
ABL1,ENSG00000097007,0.8438669970372031,0.0,0.0,1.0,1.0,1.0,0.32301,1.0,-1.0,-1.0,1.0,0.661505,0.0,1.0,0.6000000000000001,0.6836972988148813
PIK3CD,ENSG00000171608,0.7700570312181257,0.0,0.0,1.0,1.0,0.0,0.7317999999999998,1.0,0.75,0.0,1.0,0.8658999999999999,0.6875,1.0,0.4,0.6833628124872504
IL6,ENSG00000136244,0.8501520816911097,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.625,1.0,0.6000000000000001,0.6825608326764439
CD38,ENSG00000004468,0.6988880751431894,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.625,1.0,0.8,0.6820552300572758
EPHB2,ENSG00000133216,0.7239268165962205,1.0,0.0,1.0,1.0,0.0,0.9746450000000004,0.0,0.5,0.0,1.0,0.4873225000000002,0.625,1.0,0.6000000000000001,0.6808029766384882
TGFBR1,ENSG00000106799,0.7470115184097132,1.0,0.0,1.0,1.0,1.0,0.8210749999999998,1.0,-1.0,-1.0,0.5,0.9105374999999999,0.0,0.5,0.8,0.6798583573638852
NOS1,ENSG00000089250,0.7718205552427843,1.0,0.0,1.0,1.0,0.0,0.6861899999999999,0.0,0.75,0.5,0.75,0.34309499999999993,0.8125,0.75,0.6000000000000001,0.6792877220971137
FGFR3,ENSG00000068078,0.6615000806337304,0.0,1.0,1.0,1.0,0.0,0.4354849999999999,1.0,0.5,0.0,1.0,0.7177425,0.625,1.0,0.6000000000000001,0.6788742822534923
IL1B,ENSG00000125538,0.8385567806901177,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.625,1.0,0.6000000000000001,0.6779227122760472
MPO,ENSG00000005381,0.818373085238107,0.0,0.0,1.0,1.0,1.0,0.1610750000000003,0.0,1.0,0.5,0.75,0.08053750000000015,0.875,0.75,0.6000000000000001,0.6779029840952429
AVPR2,ENSG00000126895,0.6599158968939944,1.0,0.0,1.0,1.0,0.0,0.3800550000000001,1.0,0.5,0.0,1.0,0.6900275,0.625,1.0,0.6000000000000001,0.6754691087575978
APP,ENSG00000142192,0.7446785714049168,0.0,1.0,1.0,1.0,1.0,0.7402599999999999,0.0,-1.0,-1.0,1.0,0.37012999999999996,0.0,1.0,0.8,0.6748844285619668
OXTR,ENSG00000180914,0.5653756417788076,1.0,0.0,1.0,1.0,0.0,0.60154,1.0,1.0,0.5,1.0,0.80077,0.875,1.0,0.6000000000000001,0.6737272567115231
PDE9A,ENSG00000160191,0.5254171691611017,1.0,0.0,1.0,1.0,1.0,0.15683,1.0,0.5,0.0,1.0,0.578415,0.625,1.0,0.8,0.6705083676644407
SCN8A,ENSG00000196876,0.655636478257533,1.0,0.0,1.0,1.0,0.0,0.9267699999999998,0.0,0.75,0.5,1.0,0.4633849999999999,0.8125,1.0,0.6000000000000001,0.6698430913030132
NFE2L2,ENSG00000116044,0.962837527696792,1.0,0.0,1.0,1.0,0.0,0.0495849999999997,0.0,-1.0,-1.0,1.0,0.02479249999999985,0.0,1.0,0.6000000000000001,0.6676142610787168
SCN5A,ENSG00000183873,0.655636478257533,1.0,0.0,1.0,1.0,0.0,0.7196049999999999,0.0,1.0,0.5,1.0,0.35980249999999997,0.875,1.0,0.6000000000000001,0.6657348413030132
LGALS3,ENSG00000131981,0.8182102161662448,1.0,1.0,1.0,1.0,0.0,0.2,0.0,0.5,-1.0,0.5,0.1,0.375,0.5,0.8,0.6647840864664979
AURKB,ENSG00000178999,0.865457038266544,0.0,0.0,1.0,1.0,0.0,0.2151150000000001,1.0,0.5,0.0,0.75,0.6075575000000001,0.625,0.75,0.4,0.6644385653066176
CDK5,ENSG00000164885,0.681465614654676,1.0,0.0,1.0,1.0,0.0,0.982875,1.0,0.5,-1.0,0.75,0.9914375,0.375,0.75,0.6000000000000001,0.6642299958618705
SCN1A,ENSG00000144285,0.655636478257533,1.0,0.0,1.0,1.0,0.0,0.9079149999999998,0.0,0.5,0.5,1.0,0.4539574999999999,0.75,1.0,0.6000000000000001,0.6626503413030133
PPARG,ENSG00000132170,0.5555978657081865,0.0,0.0,1.0,1.0,1.0,0.9157899999999998,1.0,0.5,0.0,1.0,0.9578949999999999,0.625,1.0,0.6000000000000001,0.6605286462832746
LRRK2,ENSG00000188906,0.9967762517090266,0.0,0.0,1.0,1.0,0.0,0.3312249999999999,1.0,1.0,0.0,0.0,0.6656124999999999,0.75,0.0,0.4,0.6602717506836107
SIRT2,ENSG00000068903,0.8918131823553433,1.0,0.0,1.0,1.0,1.0,0.3830350000000003,0.0,0.75,-1.0,0.0,0.19151750000000015,0.4375,0.0,0.8,0.6596270229421374
BACE1,ENSG00000186318,0.523560663948569,1.0,0.0,1.0,1.0,1.0,0.8203600000000002,1.0,0.75,-1.0,0.75,0.9101800000000001,0.4375,0.75,0.8,0.6591922655794277
ALB,ENSG00000163631,0.8601373951365628,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.8,0.6590549580546252
AGTR1,ENSG00000144891,0.849736768011893,0.0,0.0,1.0,1.0,0.0,0.7214500000000001,0.0,0.5,0.0,1.0,0.3607250000000001,0.625,1.0,0.4,0.6584672072047573
HMOX1,ENSG00000100292,0.907355312855424,1.0,0.0,1.0,1.0,1.0,0.09722,0.0,1.0,-1.0,0.0,0.04861,0.5,0.0,0.8,0.6578031251421697
SLC6A2,ENSG00000103546,0.8161589791090534,0.0,0.0,1.0,1.0,0.0,0.7163699999999998,0.0,0.5,0.5,1.0,0.3581849999999999,0.75,1.0,0.4,0.6572820916436214
HMGB1,ENSG00000189403,0.8833100463262582,0.0,1.0,1.0,1.0,0.0,0.95349,0.0,-1.0,-1.0,0.75,0.476745,0.0,0.75,0.6000000000000001,0.6559985185305034
MC1R,ENSG00000258839,0.7805908678083103,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.625,1.0,0.6000000000000001,0.6547363471233242
MMP3,ENSG00000149968,0.6921566714448323,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.75,0.0,0.625,0.75,0.8,0.6543626685779329
SCN3A,ENSG00000153253,0.655636478257533,1.0,0.0,1.0,1.0,0.0,0.7399999999999999,0.0,0.5,0.5,1.0,0.36999999999999994,0.75,1.0,0.6000000000000001,0.6542545913030132
ATP1A1,ENSG00000163399,0.7362479596462194,1.0,0.0,1.0,1.0,0.0,0.8435949999999999,0.0,0.5,-1.0,1.0,0.42179749999999994,0.375,1.0,0.6000000000000001,0.6541789338584878
NOX4,ENSG00000086991,0.8002169614908392,1.0,0.0,1.0,1.0,0.0,0.5328699999999997,0.0,1.0,0.0,0.5,0.26643499999999987,0.75,0.5,0.6000000000000001,0.6517302845963358
MTOR,ENSG00000198793,0.8352204082795512,0.0,0.0,1.0,1.0,0.0,0.9470399999999998,1.0,-1.0,-1.0,1.0,0.9735199999999999,0.0,1.0,0.4,0.6514401633118205
MAPK10,ENSG00000109339,0.6393892706898724,0.0,0.0,1.0,1.0,1.0,0.9784500000000002,1.0,0.5,-1.0,0.75,0.989225,0.375,0.75,0.6000000000000001,0.647178208275949
HSP90AA1,ENSG00000080824,0.731962174981589,0.0,0.0,1.0,1.0,1.0,0.9590150000000002,1.0,-1.0,-1.0,0.75,0.9795075000000001,0.0,0.75,0.6000000000000001,0.6457356199926356
AXL,ENSG00000167601,0.865457038266544,1.0,0.0,1.0,1.0,0.0,0.379195,0.0,-1.0,-1.0,1.0,0.1895975,0.0,1.0,0.6000000000000001,0.6451425653066176
GCG,ENSG00000115263,0.9106031047534578,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.75,0.0,0.6000000000000001,0.6442412419013832
GABRB1,ENSG00000163288,0.607930797611621,1.0,0.0,1.0,1.0,0.0,0.9050649999999998,0.0,0.5,0.5,1.0,0.4525324999999999,0.75,1.0,0.6000000000000001,0.6434255690446484
DDC,ENSG00000132437,0.9935596160781068,0.0,0.0,0.0,0.0,1.0,0.46875,0.0,0.5,0.0,1.0,0.234375,0.625,1.0,0.2,0.6433613464312428
GRIA1,ENSG00000155511,0.5903852548282323,1.0,0.0,1.0,1.0,0.0,0.8951450000000001,0.0,0.75,0.5,1.0,0.44757250000000004,0.8125,1.0,0.6000000000000001,0.642161351931293
PARP1,ENSG00000143799,0.6949716410550882,0.0,0.0,1.0,1.0,1.0,0.6252450000000003,1.0,-1.0,-1.0,1.0,0.8126225000000001,0.0,1.0,0.6000000000000001,0.6392509064220353
UCHL1,ENSG00000154277,0.9042554333569688,0.0,0.0,1.0,1.0,0.0,0.7757849999999997,1.0,0.75,0.0,0.0,0.8878924999999999,0.6875,0.0,0.4,0.6392414233427876
ROCK1,ENSG00000067900,0.5104085654947569,1.0,0.0,1.0,1.0,1.0,0.830135,1.0,-1.0,-1.0,1.0,0.9150674999999999,0.0,1.0,0.8,0.6356701761979027
ADRB3,ENSG00000188778,0.5752326791479128,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.75,1.0,0.6000000000000001,0.6350930716591652
GBA1,ENSG00000177628,0.9923811533102792,0.0,0.0,1.0,1.0,1.0,0.1604500000000001,0.0,-1.0,-1.0,0.5,0.08022500000000005,0.0,0.5,0.6000000000000001,0.6349749613241118
NTRK2,ENSG00000148053,0.530063356488204,1.0,0.0,1.0,1.0,0.0,0.6062049999999999,1.0,0.5,0.0,1.0,0.8031024999999999,0.625,1.0,0.6000000000000001,0.6348355925952817
ITGAL,ENSG00000005844,0.4553983240562839,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.625,1.0,0.8,0.6346593296225136
CD4,ENSG00000010610,0.942483503130314,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,-1.0,1.0,0.0,0.375,1.0,0.4,0.6344934012521257
SLC6A4,ENSG00000108576,0.6199429641222142,0.0,0.0,1.0,1.0,0.0,0.6269849999999998,1.0,0.75,0.5,1.0,0.8134925,0.8125,1.0,0.4,0.6305764356488857
IFNG,ENSG00000111537,0.8222322653742553,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.8125,1.0,0.4,0.6301429061497021
PTGFR,ENSG00000122420,0.5388404085899058,1.0,0.0,1.0,1.0,0.0,0.4289700000000003,1.0,0.5,0.0,1.0,0.7144850000000001,0.625,1.0,0.6000000000000001,0.6294846634359623
AKT3,ENSG00000117020,0.6258309822079632,1.0,0.0,1.0,1.0,0.0,0.9791249999999998,1.0,-1.0,-1.0,1.0,0.9895624999999999,0.0,1.0,0.6000000000000001,0.6292886428831852
ADRB1,ENSG00000043591,0.6522069980284402,1.0,0.0,1.0,1.0,0.0,0.5178199999999997,0.0,0.5,0.0,1.0,0.25890999999999986,0.625,1.0,0.6000000000000001,0.6292737992113762
NR1H2,ENSG00000131408,0.8256025903265142,0.0,0.0,1.0,1.0,1.0,0.369565,1.0,-1.0,-1.0,0.5,0.6847825,0.0,0.5,0.6000000000000001,0.6287192861306057
ACE,ENSG00000159640,0.5436309727093047,0.0,1.0,1.0,1.0,1.0,0.16539,0.0,0.5,0.0,1.0,0.082695,0.625,1.0,0.8,0.6282218890837219
MAPK1,ENSG00000100030,0.7510632913169131,0.0,0.0,1.0,1.0,1.0,0.9305549999999996,1.0,-1.0,-1.0,0.5,0.9652774999999998,0.0,0.5,0.6000000000000001,0.6269530665267653
CNR1,ENSG00000118432,0.4770568064591193,1.0,0.0,1.0,1.0,0.0,0.8516950000000001,1.0,0.5,0.0,1.0,0.9258475,0.625,1.0,0.6000000000000001,0.6259074725836478
NLRP3,ENSG00000162711,0.9583049830369558,0.0,1.0,0.0,0.0,0.0,0.1392650000000003,1.0,1.0,0.0,0.5,0.5696325000000002,0.75,0.5,0.2,0.6252852432147824
GRIA3,ENSG00000125675,0.5887907673766956,1.0,0.0,1.0,1.0,0.0,0.94407,0.0,0.5,0.0,1.0,0.472035,0.625,1.0,0.6000000000000001,0.6252198069506782
BDNF,ENSG00000176697,0.964840178683777,0.0,1.0,0.0,1.0,0.0,0.8785400000000003,0.0,0.5,0.5,0.0,0.43927000000000016,0.75,0.0,0.4,0.6248630714735108
TLR4,ENSG00000136869,0.9232061807601076,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.75,0.0,0.0,0.75,0.6000000000000001,0.6242824723040431
ABCC9,ENSG00000069431,0.607930797611621,1.0,0.0,1.0,1.0,0.0,0.7643650000000001,0.0,0.5,0.0,1.0,0.38218250000000004,0.625,1.0,0.6000000000000001,0.6238905690446485
PKM,ENSG00000067225,0.7791358752852885,0.0,0.0,1.0,1.0,1.0,0.8870049999999999,1.0,0.5,-1.0,0.0,0.9435024999999999,0.375,0.0,0.6000000000000001,0.6235046001141153
ICAM1,ENSG00000090339,0.8236313517721355,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,-1.0,0.75,0.0,0.375,0.75,0.6000000000000001,0.6219525407088542
OPRD1,ENSG00000116329,0.4255515583281347,1.0,0.0,1.0,1.0,0.0,0.67742,1.0,0.5,1.0,1.0,0.8387100000000001,0.875,1.0,0.6000000000000001,0.621591623331254
ABCB1,ENSG00000085563,0.7132557079556993,1.0,0.0,1.0,1.0,0.0,0.3632800000000003,0.0,0.5,0.0,0.75,0.18164000000000016,0.625,0.75,0.6000000000000001,0.6209662831822798
FGF1,ENSG00000113578,0.630528936316173,0.0,1.0,1.0,1.0,0.0,0.7741950000000003,0.0,1.0,0.0,0.75,0.38709750000000015,0.75,0.75,0.6000000000000001,0.6209213245264693
KCNN4,ENSG00000104783,0.5269577927630732,1.0,0.0,1.0,1.0,0.0,0.3442599999999999,1.0,0.5,0.0,1.0,0.6721299999999999,0.625,1.0,0.6000000000000001,0.6204961171052292
CSF1R,ENSG00000182578,0.482019169316671,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,-1.0,1.0,0.5,0.375,1.0,0.8,0.6203076677266683
CYSLTR1,ENSG00000173198,0.5223684956677823,1.0,0.0,1.0,1.0,0.0,0.3768549999999998,1.0,0.5,0.0,1.0,0.6884274999999999,0.625,1.0,0.6000000000000001,0.6202901482671129
ADORA1,ENSG00000163485,0.4732572389740467,1.0,0.0,1.0,1.0,0.0,0.7392650000000003,1.0,0.5,0.0,1.0,0.8696325000000001,0.625,1.0,0.6000000000000001,0.6187661455896187
FGF2,ENSG00000138685,0.6024621913749845,0.0,1.0,1.0,1.0,1.0,0.7419350000000001,0.0,-1.0,0.0,0.75,0.37096750000000006,0.25,0.75,0.8,0.6180816265499938
NAMPT,ENSG00000105835,0.5950199537322453,0.0,1.0,1.0,1.0,1.0,0.7861499999999999,1.0,-1.0,-1.0,0.5,0.893075,0.0,0.5,0.8,0.617315481492898
TAAR1,ENSG00000146399,0.6534456988585314,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.75,0.0,1.0,0.75,0.6000000000000001,0.6163782795434126
HRH3,ENSG00000101180,0.5319394479101685,1.0,0.0,1.0,1.0,0.0,0.7078650000000003,0.0,1.0,0.5,1.0,0.35393250000000015,0.875,1.0,0.6000000000000001,0.6156690291640675
EHMT1,ENSG00000181090,0.9051880704599232,0.0,0.0,1.0,1.0,1.0,0.4375950000000003,1.0,-1.0,-1.0,0.0,0.7187975000000002,0.0,0.0,0.6000000000000001,0.6139549781839694
COMT,ENSG00000093010,0.9841645051736286,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.4,0.6136658020694514
LAG3,ENSG00000089692,0.823083936887257,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.625,1.0,0.4,0.6117335747549029
OPRK1,ENSG00000082556,0.4255515583281347,1.0,0.0,1.0,1.0,0.0,0.6842100000000002,1.0,0.5,0.5,1.0,0.8421050000000001,0.75,1.0,0.6000000000000001,0.6094311233312539
NR3C1,ENSG00000113580,0.6309046315627708,0.0,0.0,1.0,1.0,1.0,0.5109400000000001,1.0,-1.0,-1.0,1.0,0.7554700000000001,0.0,1.0,0.6000000000000001,0.6079088526251084
CRHR1,ENSG00000120088,0.5614856221605489,1.0,0.0,1.0,1.0,0.0,0.8795200000000001,0.0,0.75,0.5,0.75,0.43976000000000004,0.8125,0.75,0.6000000000000001,0.6048202488642196
SOD1,ENSG00000142168,0.8446821765287368,0.0,0.0,0.0,1.0,1.0,0.1883099999999999,0.0,0.5,-1.0,1.0,0.09415499999999995,0.375,1.0,0.4,0.6047883706114947
SCN7A,ENSG00000136546,0.655636478257533,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.625,1.0,0.6000000000000001,0.6047545913030132
