Gene,targetId,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,tissueSpecificity,tissueDistribution,maxClinicalTrialPhase,Priority
HTR2C,ENSG00000147246,1.0,0.0,1.0,1.0,0.0,0.5305700000000002,1.0,0.75,0.5,1.0,6.78057
GHSR,ENSG00000121853,1.0,0.0,1.0,1.0,0.0,0.7677599999999998,0.0,1.0,1.0,1.0,6.76776
MTNR1A,ENSG00000168412,1.0,0.0,1.0,1.0,0.0,0.2571449999999998,1.0,0.5,1.0,1.0,6.7571449999999995
AOC1,ENSG00000002726,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,1.0,6.75
MMP12,ENSG00000262406,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.75,6.75
AGER,ENSG00000204305,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,6.75
GRIA2,ENSG00000120251,1.0,0.0,1.0,1.0,1.0,0.988675,0.0,0.75,0.0,1.0,6.738675
FAP,ENSG00000078098,1.0,1.0,1.0,1.0,1.0,0.480265,0.0,0.5,0.0,0.75,6.730265
CCKBR,ENSG00000110148,1.0,0.0,1.0,1.0,0.0,0.4630850000000002,1.0,0.75,0.5,1.0,6.713085
CACNG8,ENSG00000142408,1.0,0.0,1.0,1.0,0.0,0.7058799999999998,0.0,1.0,1.0,1.0,6.70588
OPRL1,ENSG00000125510,1.0,0.0,1.0,1.0,0.0,0.68919,1.0,0.75,0.5,0.75,6.68919
OPRK1,ENSG00000082556,1.0,0.0,1.0,1.0,0.0,0.6842100000000002,1.0,0.5,0.5,1.0,6.68421
RET,ENSG00000165731,1.0,0.0,1.0,1.0,1.0,0.1651699999999998,1.0,0.5,0.0,1.0,6.66517
HTR1A,ENSG00000178394,1.0,0.0,1.0,1.0,0.0,0.4075850000000002,1.0,0.75,0.5,1.0,6.657585
PDE9A,ENSG00000160191,1.0,0.0,1.0,1.0,1.0,0.15683,1.0,0.5,0.0,1.0,6.65683
GRM2,ENSG00000164082,1.0,0.0,1.0,1.0,0.0,0.8738549999999996,0.0,1.0,1.0,0.75,6.623855
HTR7,ENSG00000148680,1.0,0.0,1.0,1.0,0.0,0.3528199999999998,1.0,0.75,0.5,1.0,6.6028199999999995
CHRNB2,ENSG00000160716,1.0,0.0,1.0,1.0,1.0,0.32271,0.0,0.75,0.5,1.0,6.57271
KCNK3,ENSG00000171303,1.0,0.0,1.0,1.0,0.0,0.5685299999999998,1.0,1.0,0.0,1.0,6.56853
TACR3,ENSG00000169836,1.0,0.0,1.0,1.0,0.0,0.2903199999999998,1.0,0.75,0.5,1.0,6.5403199999999995
DRD2,ENSG00000149295,1.0,0.0,1.0,1.0,0.0,0.7855550000000001,1.0,0.75,0.0,1.0,6.5355550000000004
NTSR1,ENSG00000101188,1.0,0.0,1.0,1.0,0.0,0.270335,1.0,1.0,0.5,0.75,6.520335
PCSK9,ENSG00000169174,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,6.5
MTNR1B,ENSG00000134640,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,6.5
CETP,ENSG00000087237,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.0,0.75,6.5
TNF,ENSG00000232810,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,6.5
ITGAL,ENSG00000005844,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,6.5
CFTR,ENSG00000001626,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,6.5
PLA2G2A,ENSG00000188257,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.75,6.5
PRKCA,ENSG00000154229,1.0,0.0,1.0,1.0,1.0,0.9702399999999998,0.0,0.5,0.0,1.0,6.4702399999999995
GRIN1,ENSG00000176884,1.0,0.0,1.0,1.0,0.0,0.9520249999999996,0.0,1.0,0.5,1.0,6.452024999999999
GRIK2,ENSG00000164418,1.0,0.0,1.0,1.0,0.0,0.9504399999999996,0.0,1.0,0.5,1.0,6.4504399999999995
PRKCG,ENSG00000126583,1.0,0.0,1.0,1.0,0.0,0.949785,0.0,1.0,0.5,1.0,6.449785
KCNA3,ENSG00000177272,1.0,0.0,1.0,1.0,0.0,0.4347850000000001,1.0,0.5,0.5,1.0,6.434785
EPHA4,ENSG00000116106,1.0,0.0,1.0,1.0,1.0,0.929005,0.0,0.5,0.0,1.0,6.429005
PPARG,ENSG00000132170,0.0,0.0,1.0,1.0,1.0,0.9157899999999998,1.0,0.5,0.0,1.0,6.415789999999999
RXRG,ENSG00000143171,0.0,0.0,1.0,1.0,1.0,0.9136049999999998,1.0,0.5,0.0,1.0,6.413605
HTR5A,ENSG00000157219,1.0,0.0,1.0,1.0,0.0,0.3977600000000002,0.0,1.0,1.0,1.0,6.39776
HTR6,ENSG00000158748,1.0,0.0,1.0,1.0,0.0,0.3977249999999998,0.0,1.0,1.0,1.0,6.397724999999999
GABRA2,ENSG00000151834,1.0,0.0,1.0,1.0,0.0,0.8891350000000002,0.0,1.0,0.5,1.0,6.3891350000000005
ERBB4,ENSG00000178568,1.0,0.0,1.0,1.0,1.0,0.8662100000000003,0.0,0.5,0.0,1.0,6.366210000000001
GRM4,ENSG00000124493,1.0,0.0,1.0,1.0,0.0,0.8574550000000002,0.0,1.0,1.0,0.5,6.357455
GABBR2,ENSG00000136928,1.0,0.0,1.0,1.0,0.0,0.8565350000000003,0.0,1.0,0.5,1.0,6.356535
CNR1,ENSG00000118432,1.0,0.0,1.0,1.0,0.0,0.8516950000000001,1.0,0.5,0.0,1.0,6.351695
PDE6C,ENSG00000095464,1.0,0.0,1.0,1.0,0.0,0.3473199999999998,0.0,1.0,1.0,1.0,6.34732
NTRK1,ENSG00000198400,0.0,0.0,1.0,1.0,1.0,0.3341700000000003,1.0,0.5,0.5,1.0,6.33417
EPHA3,ENSG00000044524,1.0,0.0,1.0,1.0,1.0,0.8270600000000001,0.0,0.5,0.0,1.0,6.32706
BACE1,ENSG00000186318,1.0,0.0,1.0,1.0,1.0,0.8203600000000002,1.0,0.75,-1.0,0.75,6.32036
CDK6,ENSG00000105810,0.0,0.0,1.0,1.0,1.0,0.8159500000000002,1.0,0.5,0.0,1.0,6.31595
LYN,ENSG00000254087,1.0,0.0,1.0,1.0,1.0,0.8046900000000001,1.0,0.5,-1.0,1.0,6.30469
WNT3A,ENSG00000154342,0.0,1.0,1.0,1.0,0.0,0.801135,1.0,1.0,0.5,0.0,6.301135
GPR88,ENSG00000181656,1.0,0.0,1.0,1.0,0.0,0.7786450000000003,1.0,1.0,0.5,0.0,6.278645
KCNQ3,ENSG00000184156,1.0,0.0,1.0,1.0,0.0,0.7763750000000001,0.0,1.0,0.5,1.0,6.276375
TRPV4,ENSG00000111199,1.0,0.0,1.0,1.0,0.0,0.76464,1.0,0.5,0.0,1.0,6.26464
GRIN2A,ENSG00000183454,0.0,0.0,1.0,1.0,0.0,0.7643450000000002,1.0,1.0,0.5,1.0,6.2643450000000005
GABRG1,ENSG00000163285,1.0,0.0,1.0,1.0,0.0,0.7634399999999999,0.0,1.0,0.5,1.0,6.26344
EPHA8,ENSG00000070886,1.0,0.0,1.0,1.0,0.0,0.7562199999999997,0.0,1.0,0.5,1.0,6.25622
KCNQ2,ENSG00000075043,0.0,0.0,1.0,1.0,0.0,0.7534399999999998,1.0,1.0,0.5,1.0,6.253439999999999
CHRNA6,ENSG00000147434,1.0,0.0,1.0,1.0,0.0,0.2510100000000001,1.0,0.5,1.0,0.5,6.25101
PDE6A,ENSG00000132915,1.0,0.0,1.0,1.0,0.0,0.75,0.0,1.0,0.5,1.0,6.25
SSTR5,ENSG00000162009,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.75,0.5,1.0,6.25
ADORA1,ENSG00000163485,1.0,0.0,1.0,1.0,0.0,0.7392650000000003,1.0,0.5,0.0,1.0,6.2392650000000005
NPY2R,ENSG00000185149,1.0,0.0,1.0,1.0,0.0,0.7244100000000003,1.0,0.5,0.5,0.5,6.224410000000001
SCN5A,ENSG00000183873,1.0,0.0,1.0,1.0,0.0,0.7196049999999999,0.0,1.0,0.5,1.0,6.219605
HRH3,ENSG00000101180,1.0,0.0,1.0,1.0,0.0,0.7078650000000003,0.0,1.0,0.5,1.0,6.207865
MME,ENSG00000196549,1.0,0.0,1.0,1.0,1.0,0.7066650000000003,0.0,0.5,0.0,1.0,6.206665
CASR,ENSG00000036828,1.0,0.0,1.0,1.0,0.0,0.6799649999999999,0.0,1.0,0.5,1.0,6.179965
TNFSF11,ENSG00000120659,1.0,1.0,1.0,1.0,0.0,0.1798099999999998,0.0,0.5,0.5,1.0,6.17981
SCN8A,ENSG00000196876,1.0,0.0,1.0,1.0,0.0,0.9267699999999998,0.0,0.75,0.5,1.0,6.176769999999999
GABRA1,ENSG00000022355,1.0,0.0,1.0,1.0,0.0,0.923245,0.0,0.75,0.5,1.0,6.173245
GRIN3A,ENSG00000198785,1.0,0.0,1.0,1.0,0.0,0.6681600000000003,0.0,1.0,0.5,1.0,6.16816
SCN9A,ENSG00000169432,1.0,0.0,1.0,1.0,0.0,0.660465,1.0,0.5,0.0,1.0,6.160465
FFAR1,ENSG00000126266,1.0,0.0,1.0,1.0,0.0,0.15,1.0,0.75,0.5,0.75,6.15
GRIA1,ENSG00000155511,1.0,0.0,1.0,1.0,0.0,0.8951450000000001,0.0,0.75,0.5,1.0,6.145145
GABRB2,ENSG00000145864,1.0,0.0,1.0,1.0,0.0,0.6191400000000001,0.0,1.0,0.5,1.0,6.11914
HTRA1,ENSG00000166033,1.0,1.0,1.0,1.0,1.0,0.6145850000000003,0.0,0.5,0.0,0.0,6.114585
EDNRA,ENSG00000151617,1.0,0.0,1.0,1.0,0.0,0.6135849999999998,1.0,0.5,0.0,1.0,6.113585
NTRK2,ENSG00000148053,1.0,0.0,1.0,1.0,0.0,0.6062049999999999,1.0,0.5,0.0,1.0,6.106205
F9,ENSG00000101981,0.0,1.0,1.0,1.0,0.0,0.0997849999999999,0.0,1.0,1.0,1.0,6.099785
AGTR2,ENSG00000180772,1.0,0.0,1.0,1.0,0.0,0.586775,1.0,0.5,0.5,0.5,6.086775
GRM3,ENSG00000198822,1.0,0.0,1.0,1.0,0.0,0.83504,0.0,1.0,0.5,0.75,6.08504
FLT1,ENSG00000102755,1.0,1.0,1.0,1.0,0.0,0.0844549999999998,0.0,1.0,0.0,1.0,6.084455
TTR,ENSG00000118271,0.0,1.0,1.0,1.0,1.0,0.0816349999999999,0.0,1.0,0.0,1.0,6.081635
GABRA3,ENSG00000011677,1.0,0.0,1.0,1.0,0.0,0.8069099999999999,0.0,0.75,0.5,1.0,6.05691
GCK,ENSG00000106633,0.0,0.0,1.0,1.0,1.0,0.7957000000000001,1.0,0.5,0.0,0.75,6.0457
NR1H4,ENSG00000012504,0.0,0.0,1.0,1.0,1.0,0.5168050000000001,1.0,0.5,0.0,1.0,6.016805
ACP3,ENSG00000014257,1.0,1.0,1.0,1.0,0.0,0.0155450000000001,0.0,1.0,0.0,1.0,6.015545
HCN4,ENSG00000138622,1.0,0.0,1.0,1.0,0.0,0.7589350000000004,0.0,0.75,0.5,1.0,6.008935
PLK1,ENSG00000166851,0.0,0.0,1.0,1.0,1.0,0.7512450000000002,1.0,0.5,0.0,0.75,6.001245
ADRB3,ENSG00000188778,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,6.0
MMP10,ENSG00000166670,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0
CD40LG,ENSG00000102245,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,0.5,0.75,6.0
TRPA1,ENSG00000104321,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,6.0
PDE10A,ENSG00000112541,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0
BCHE,ENSG00000114200,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0
MAPT,ENSG00000186868,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,6.0
FOLR1,ENSG00000110195,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
ELANE,ENSG00000197561,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0
P2RY1,ENSG00000169860,1.0,0.0,1.0,1.0,0.0,0.7453099999999999,1.0,0.5,0.0,0.75,5.99531
TUBB3,ENSG00000258947,0.0,0.0,1.0,1.0,0.0,0.98889,1.0,1.0,0.0,1.0,5.98889
ESR1,ENSG00000091831,0.0,0.0,1.0,1.0,1.0,0.4789900000000003,1.0,0.5,0.0,1.0,5.9789900000000005
NOS3,ENSG00000164867,1.0,0.0,1.0,1.0,1.0,0.7090600000000002,0.0,0.5,0.0,0.75,5.95906
ADH7,ENSG00000196344,1.0,0.0,0.0,1.0,1.0,0.4518700000000002,0.0,1.0,0.5,1.0,5.95187
GRIN2C,ENSG00000161509,1.0,0.0,1.0,1.0,0.0,0.4444450000000003,0.0,1.0,0.5,1.0,5.944445
SRC,ENSG00000197122,1.0,0.0,1.0,1.0,1.0,0.94403,1.0,-1.0,0.0,1.0,5.94403
FGFR3,ENSG00000068078,0.0,1.0,1.0,1.0,0.0,0.4354849999999999,1.0,0.5,0.0,1.0,5.935485
BACE2,ENSG00000182240,1.0,0.0,1.0,1.0,1.0,0.4305,1.0,0.5,0.0,0.0,5.9305
PTGFR,ENSG00000122420,1.0,0.0,1.0,1.0,0.0,0.4289700000000003,1.0,0.5,0.0,1.0,5.9289700000000005
PTGER4,ENSG00000171522,1.0,0.0,1.0,1.0,0.0,0.4159849999999999,1.0,0.5,0.0,1.0,5.915985
SCN1A,ENSG00000144285,1.0,0.0,1.0,1.0,0.0,0.9079149999999998,0.0,0.5,0.5,1.0,5.907915
GABRB1,ENSG00000163288,1.0,0.0,1.0,1.0,0.0,0.9050649999999998,0.0,0.5,0.5,1.0,5.905065
KCNQ1,ENSG00000053918,1.0,0.0,1.0,1.0,0.0,0.3934899999999999,1.0,0.5,0.0,1.0,5.89349
AVPR2,ENSG00000126895,1.0,0.0,1.0,1.0,0.0,0.3800550000000001,1.0,0.5,0.0,1.0,5.8800550000000005
CRHR1,ENSG00000120088,1.0,0.0,1.0,1.0,0.0,0.8795200000000001,0.0,0.75,0.5,0.75,5.87952
SLC6A4,ENSG00000108576,0.0,0.0,1.0,1.0,0.0,0.6269849999999998,1.0,0.75,0.5,1.0,5.8769849999999995
CYSLTR1,ENSG00000173198,1.0,0.0,1.0,1.0,0.0,0.3768549999999998,1.0,0.5,0.0,1.0,5.876855
SOST,ENSG00000167941,0.0,1.0,1.0,1.0,0.0,0.3661949999999997,0.0,1.0,0.5,1.0,5.866194999999999
PTGER2,ENSG00000125384,1.0,0.0,1.0,1.0,0.0,0.3575400000000002,1.0,0.5,0.0,1.0,5.85754
KCNN4,ENSG00000104783,1.0,0.0,1.0,1.0,0.0,0.3442599999999999,1.0,0.5,0.0,1.0,5.84426
GRIN2D,ENSG00000105464,1.0,0.0,1.0,1.0,0.0,0.8315849999999998,0.0,0.5,0.5,1.0,5.831585
CHRM2,ENSG00000181072,1.0,0.0,1.0,1.0,0.0,0.8175950000000001,0.0,0.5,0.5,1.0,5.817595
IGF1R,ENSG00000140443,1.0,0.0,1.0,1.0,1.0,0.8061450000000001,1.0,-1.0,0.0,1.0,5.806145
DRD1,ENSG00000184845,1.0,0.0,1.0,1.0,0.0,0.5515700000000002,0.0,0.75,0.5,1.0,5.80157
CACNA1S,ENSG00000081248,1.0,0.0,1.0,1.0,0.0,0.5488500000000002,0.0,0.75,0.5,1.0,5.79885
GABRG3,ENSG00000182256,1.0,0.0,1.0,1.0,0.0,0.796575,0.0,0.5,0.5,1.0,5.796575
PDE1B,ENSG00000123360,0.0,0.0,1.0,1.0,0.0,0.7947749999999999,1.0,1.0,0.0,1.0,5.794775
CHRNA3,ENSG00000080644,1.0,0.0,1.0,1.0,0.0,0.5346550000000001,0.0,0.75,0.5,1.0,5.784655
AR,ENSG00000169083,0.0,0.0,1.0,1.0,1.0,0.2826099999999997,1.0,0.5,0.0,1.0,5.78261
PTK2B,ENSG00000120899,1.0,0.0,1.0,1.0,1.0,0.7720500000000001,1.0,0.5,-1.0,0.5,5.77205
GABRA4,ENSG00000109158,1.0,0.0,1.0,1.0,0.0,0.52166,0.0,0.75,0.5,1.0,5.77166
CCKAR,ENSG00000163394,1.0,0.0,1.0,1.0,0.0,0.5210299999999997,0.0,0.75,0.5,1.0,5.77103
CPS1,ENSG00000021826,0.0,0.0,1.0,1.0,1.0,0.7666649999999997,0.0,1.0,0.0,1.0,5.766665
PTGER1,ENSG00000160951,1.0,0.0,1.0,1.0,0.0,0.2661700000000003,0.0,1.0,0.5,1.0,5.766170000000001
BRS3,ENSG00000102239,1.0,0.0,1.0,1.0,0.0,0.2606499999999997,1.0,1.0,0.5,0.0,5.76065
FOLH1,ENSG00000086205,1.0,0.0,1.0,1.0,1.0,0.2600000000000001,0.0,0.5,0.0,1.0,5.76
ADRA1D,ENSG00000171873,1.0,0.0,1.0,1.0,0.0,0.2569949999999998,1.0,0.5,0.0,1.0,5.756995
SLC1A2,ENSG00000110436,1.0,0.0,1.0,1.0,0.0,0.7560949999999999,1.0,1.0,0.0,0.0,5.756095
TAAR1,ENSG00000146399,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.75,5.75
SCN3A,ENSG00000153253,1.0,0.0,1.0,1.0,0.0,0.7399999999999999,0.0,0.5,0.5,1.0,5.74
CAMK2A,ENSG00000070808,1.0,0.0,1.0,1.0,1.0,0.9897750000000002,0.0,0.75,0.0,0.0,5.739775
ATP1A3,ENSG00000105409,1.0,0.0,1.0,1.0,0.0,0.9802549999999997,0.0,0.75,0.0,1.0,5.730255
NPY5R,ENSG00000164129,1.0,0.0,1.0,1.0,0.0,0.4606749999999998,1.0,0.5,0.0,0.75,5.710675
GABRR1,ENSG00000146276,1.0,0.0,1.0,1.0,0.0,0.7077249999999999,0.0,1.0,1.0,0.0,5.707725
GABRG2,ENSG00000113327,1.0,0.0,1.0,1.0,0.0,0.94737,0.0,0.75,0.0,1.0,5.69737
NOS1,ENSG00000089250,1.0,0.0,1.0,1.0,0.0,0.6861899999999999,0.0,0.75,0.5,0.75,5.68619
SLC6A3,ENSG00000142319,0.0,0.0,1.0,1.0,0.0,0.67742,0.0,1.0,1.0,1.0,5.67742
ACE,ENSG00000159640,0.0,1.0,1.0,1.0,1.0,0.16539,0.0,0.5,0.0,1.0,5.66539
SLC6A1,ENSG00000157103,1.0,0.0,1.0,1.0,0.0,0.8998350000000002,0.0,0.75,0.0,1.0,5.649835
HTR4,ENSG00000164270,1.0,0.0,1.0,1.0,0.0,0.39433,0.0,0.75,0.5,1.0,5.64433
KIT,ENSG00000157404,1.0,0.0,1.0,1.0,1.0,0.1393450000000001,0.0,0.5,0.0,1.0,5.6393450000000005
HRH2,ENSG00000113749,1.0,0.0,1.0,1.0,0.0,0.1350700000000003,1.0,0.5,0.0,1.0,5.635070000000001
CCR5,ENSG00000160791,1.0,0.0,1.0,1.0,0.0,0.1193199999999997,1.0,0.5,0.0,1.0,5.61932
CACNB1,ENSG00000067191,1.0,0.0,1.0,1.0,0.0,0.8578600000000002,0.0,0.75,0.0,1.0,5.6078600000000005
ACE2,ENSG00000130234,1.0,1.0,1.0,1.0,1.0,0.1055900000000001,0.0,0.5,0.0,0.0,5.60559
HTR1B,ENSG00000135312,1.0,0.0,1.0,1.0,0.0,0.6025649999999999,0.0,0.5,0.5,1.0,5.602565
GLP1R,ENSG00000112164,1.0,0.0,1.0,1.0,0.0,0.60043,0.0,0.5,0.5,1.0,5.60043
OPRM1,ENSG00000112038,1.0,0.0,1.0,1.0,0.0,0.6,0.0,0.5,0.5,1.0,5.6
NT5E,ENSG00000135318,1.0,0.0,1.0,1.0,0.0,0.3292700000000003,1.0,0.5,0.0,0.75,5.57927
PTAFR,ENSG00000169403,1.0,0.0,1.0,1.0,0.0,0.0789450000000002,1.0,0.5,0.0,1.0,5.578945
GABRA6,ENSG00000145863,0.0,0.0,1.0,1.0,0.0,0.5695349999999998,0.0,1.0,1.0,1.0,5.569535
CA2,ENSG00000104267,1.0,0.0,1.0,1.0,1.0,0.0576900000000002,0.0,0.5,0.0,1.0,5.55769
ERBB3,ENSG00000065361,1.0,1.0,1.0,1.0,1.0,0.5342750000000003,0.0,-1.0,0.0,1.0,5.534275
CCR9,ENSG00000173585,1.0,0.0,1.0,1.0,0.0,0.2818449999999998,0.0,1.0,0.5,0.75,5.531845
FGF1,ENSG00000113578,0.0,1.0,1.0,1.0,0.0,0.7741950000000003,0.0,1.0,0.0,0.75,5.524195000000001
ABCC8,ENSG00000006071,0.0,0.0,1.0,1.0,0.0,0.7722949999999997,1.0,0.75,0.0,1.0,5.522295
HTR3A,ENSG00000166736,1.0,0.0,1.0,1.0,0.0,0.25732,0.0,0.75,0.5,1.0,5.50732
PLG,ENSG00000122194,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,5.5
CYP3A4,ENSG00000160868,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,5.5
CD38,ENSG00000004468,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,5.5
CSF1R,ENSG00000182578,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,-1.0,1.0,5.5
PRTN3,ENSG00000196415,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,5.5
CD274,ENSG00000120217,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,5.5
PLAU,ENSG00000122861,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,5.5
IL17A,ENSG00000112115,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,5.5
F2R,ENSG00000181104,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,5.5
IAPP,ENSG00000121351,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,5.5
MMP8,ENSG00000118113,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,5.5
F7,ENSG00000057593,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,5.5
CYP2C9,ENSG00000138109,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,5.5
ITGA2B,ENSG00000005961,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,5.5
SHBG,ENSG00000129214,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,5.5
MMP9,ENSG00000100985,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.75,5.5
